Food,Measure,Grams,Calories,Protein,Fat,Fiber,Carbs,Free Sugar (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (Âµg)
3 teaspoons sugar,1 T.,12,50,0,0,0,12,,,,,,
"9"" diam. pie",1 slice,135,330,3,13,0.1,53,,,,,,
Afghani chicken,1 serving,,151.51,15.66,9.07,0.31,1.95,0.83,87.02,35.14,1.04,3.54,20.52
Al yakhani,1 serving,,147.54,2.86,13.14,1.27,4.65,3.56,206.24,103.88,0.46,5.41,60.75
Almond biscuit (Badam ke biscuit),1 serving,,407.74,6.25,19.7,1.5,52.14,22.19,151.76,44.05,1.11,0.03,2.28
Almond cardamom cake (Badam elaichi cake),1 serving,,356.35,7.18,21.36,2.35,34.53,18.06,155.37,81.29,1.29,0.37,10.86
Almond soup (Badam ka soup),1 serving,,78.65,10.13,13.8,0.91,3.68,1.94,8376.94,114.95,2.83,7.68,38.67
Almonds,1/2 cup,70,425,13,38,1.8,13,,,,,,
Amaranth ladoo (Rajgira ladoo),1 serving,,454.15,10.12,22.7,5.11,51.33,19.92,7.51,144.58,6.47,0.03,9.52
American frosting,1 serving,,257.57,1.05,0.01,0,67.48,67.46,19.33,7.05,0.14,,
Appam,1 serving,,267.7,3.12,22.63,6.19,13.28,4.16,26.59,6.36,0.83,2.57,27.59
Apple and honey sorbet (Seb aur shehad ka sharbat),1 serving,,121.3,0.15,0.29,1.13,30.74,29.18,1.97,9.11,0.18,5.08,2.68
Apple banana pie,1 serving,,243.99,3.13,11.39,1.89,32.12,12.96,384.43,21.23,0.79,8.88,31.98
Apple betty,1 serving,100,150,1,4,0.5,29,,,,,,
Apple cake (Seb ka cake),1 serving,,290.08,4.94,12.87,1.22,39.48,23.52,136.95,38.99,0.9,1.16,9.32
Apple cinnamon pie,1 serving,,258.73,3.35,12.21,1.77,33.68,11.95,60.14,16.14,0.65,2.24,11.58
Apple crumb pudding,1 serving,,220.85,1.54,8.87,1.33,35.17,27.69,59.36,38.49,1.05,3.6,7.86
Apple jam (Seb ka murabba),1 serving,,188.79,0.14,0.32,1.29,48.56,46.76,2.71,10.84,0.21,,
Apple jelly (Seb ki jelly),1 serving,,152.13,0.1,0.21,0.86,39.37,38.18,2.14,7.89,0.15,,
Apple juice canned,1 cup,250,125,0,0,0,34,,,,,,
Apple kheer (Seb ki kheer),1 serving,,81.3,2.14,3.18,0.51,11.34,10.71,15.86,75.67,0.18,5.82,16.4
Apple mousse,1 serving,,106.92,4.21,4.27,1.6,12.77,10.56,28.79,33.76,0.48,14.48,35.22
Apple oats chia seed smoothie,1 serving,,85.64,3.49,2.48,1.44,13.07,5.76,32.02,88.89,0.5,5.39,71.4
Apple sago payasam (Seb aur sabudana ki kheer),1 serving,,136.5,3.13,7.66,0.38,14.4,10.63,39.45,102.11,0.31,5.88,21.45
Apple snowballs,1 serving,,101.51,0.86,0.31,1.25,24.58,19.4,12.8,9.43,0.18,4.46,4.64
